gameTitle,Terningespil II
language,Sprog
startGame,Start spil
player1Name,Navn på spiller 1
player2Name,Navn på spiller 2
startInfo,Klik på knappen for at spille spillet!
playTurn,Spil tur
youRolled,Du rullede
yourTurn,Din tur
youWon,Du vandt!
youLost,Du tabte
square2,Tårn
square3,Krater
square4,Slotsporten
square5,Kold ørken
square6,Den sikre by
square7,Kloster
square8,Den sorte grotte
square9,Bjerghytterne
square10,Varvæggen (varulvevæggen)
square11,Hullet
square12,Guldminen
square2Description,Øverst i tårnet finder du en glemt skattekiste med 250 mønter
square3Description,I din rejse gennem krateret snubler du og mister 100 mønter
square4Description,"Når du ankommer ved slotsportene, bliver du belønnet for dine rejser med 100 mønter"
square5Description,"Mens du krydser den kolde ørken, finder du en salgsmand, og køber brænde for 20 mønter"
square6Description,"I den sikre by fortæller du historier om dine rejser, og de lokale giver dig 180 mønter"
square7Description,"Du finder et fredeligt kloster, hvor du finder et sted at hvile"
square8Description,"På vejen gennem den sorte grotte bliver du røvet af banditter, som stjæler 70 af dine mønter"
square9Description,"Du når frem til nogle hytter i bjergene, hvor du hjælper indbyggerne og tjener 60 mønter"
square10Description,Du står overfor den store varvæg og indgår en aftale med vareulvene om en ekstra tur for 80 mønter
square11Description,"For at krydse det store hul, skal du betale en broafgift på 50 mønter"
square12Description,"Du har fundet guld i bjergene og sælger det for 650, du er rig!"